The binary number in column 1 represents the coefficients taken , 1 => +1 coefficient, 0 => -1 coefficient 
 Coefficients     Steps to walk till sign change     Evaluated value(sorted)
********************************************************************************
For n = 2
001111011     1     5.137131234575801 
111010001     1     5.143912138010792 
100101111     1     5.167829760283282 
011001111     1     5.204311798037418 
011101100     1     5.236338378490233 
010110111     1     5.288140674226204 
111001010     1     5.38706349183953 
110110010     1     5.470892368028315 
101001111     1     5.476524020657322 
101101100     1     5.508550601110136 
100110111     1     5.560352896846108 
011010111     1     5.596834934600244 
011110100     1     5.6288615150530585 
010111011     1     5.71498420479298 
111010010     1     5.779586628402356 
101010111     1     5.869047157220147 
101110100     1     5.901073737672962 
100111011     1     5.987196427412884 
011011011     1     6.02367846516702 
110001111     1     6.0543769908745 
011111000     1     6.055705045619835 
110101100     1     6.086403571327315 
001111101     1     6.145165574437625 
111100001     1     6.176964836218369 
101011011     1     6.295890687786923 
101111000     1     6.327917268239738 
111001100     1     6.395097831701355 
110010111     1     6.446900127437326 
110110100     1     6.478926707890141 
011100111     1     6.629887632807822 
010111101     1     6.7230185446548045 
001111110     2     6.780840064829189 
111010100     1     6.78762096826418 
111100010     1     6.812639326609933 
110011011     1     6.873743658004102 
101100111     1     6.902099855427726 
110111000     1     6.905770238456917 
100111101     1     6.995230767274708 
011011101     1     7.031712805028846 
011101011     1     7.056731163374598 
111011000     1     7.2144644988309565 
101011101     1     7.3039250276487495 
101101011     1     7.328943385994502 
010111110     2     7.358693035046368 
011110011     2     7.449254299937424 
110100111     1     7.479952825644904 
100111110     2     7.630905257666272 
011011110     2     7.66738729542041 
101110011     2     7.721466522557328 
111000111     2     7.788647086018944 
111100100     2     7.820673666471759 
110011101     2     7.881777997865928 
110101011     2     7.9067963562116805 
101011110     2     7.939599518040312 
011101101     2     8.064765503236423 
111001011     2     8.21549061658572 
111101000     2     8.247517197038535 
110110011     2     8.299319492774506 
101101101     2     8.336977725856325 
011110101     2     8.457288639799248 
110011110     2     8.517452488257492 
111010011     2     8.608013753148546 
111110000     2     8.64004033360136 
011101110     2     8.700439993627986 
101110101     2     8.729500862419151 
011111001     2     8.884132170366025 
110101101     2     8.914830696073505 
101101110     2     8.972652216247889 
011110110     2     9.092963130190812 
101111001     2     9.156344392985927 
111001101     2     9.223524956447546 
110110101     2     9.30735383263633 
101110110     2     9.365175352810715 
011111010     2     9.519806660757588 
110101110     2     9.550505186465069 
001111111     2     9.609267189575379 
111010101     2     9.616048093010372 
111100011     2     9.641066451356124 
110111001     2     9.734197363203107 
101111010     2     9.79201888337749 
111001110     2     9.85919944683911 
110110110     2     9.943028323027894 
111011001     2     10.042891623577148 
010111111     2     10.18712015979256 
111010110     2     10.251722583401936 
110111010     2     10.36987185359467 
100111111     2     10.459332382412462 
011011111     2     10.4958144201666 
011111100     2     10.527841000619414 
111100101     2     10.649100791217949 
111011010     2     10.678566113968712 
101011111     2     10.768026642786502 
101111100     2     10.800053223239317 
111101001     2     11.075944321784725 
111100110     2     11.284775281609512 
110011111     2     11.345879613003682 
110111100     2     11.377906193456496 
111110001     2     11.46846745834755 
011101111     2     11.528867118374178 
111011100     2     11.686600453830536 
111101010     2     11.711618812176289 
101101111     2     11.80107934099408 
011110111     2     11.921390254937004 
111110010     2     12.104141948739114 
101110111     2     12.193602477556906 
011111011     2     12.34823378550378 
110101111     2     12.37893231121126 
101111011     2     12.620446008123682 
111001111     2     12.6876265715853 
111101100     2     12.719653152038115 
110110111     2     12.771455447774086 
111010111     2     13.080149708148125 
111110100     2     13.11217628860094 
110111011     2     13.198298978340862 
011111101     2     13.356268125365602 
111011011     2     13.506993238714902 
111111000     2     13.539019819167716 
101111101     2     13.628480347985507 
011111110     3     13.991942615757168 
111100111     2     14.113202406355704 
110111101     2     14.206333318202686 
101111110     3     14.26415483837707 
111011101     2     14.515027578576728 
111101011     2     14.54004593692248 
110111110     3     14.84200780859425 
111110011     3     14.932569073485306 
111011110     3     15.150702068968291 
111101101     3     15.548080276784304 
111110101     3     15.94060341334713 
111101110     3     16.18375476717587 
111111001     3     16.367446943913908 
111110110     3     16.576277903738696 
011111111     3     16.820369740503356 
111111010     3     17.00312143430547 
101111111     3     17.092581963123262 
110111111     3     17.67043493334044 
111011111     3     17.97912919371448 
111111100     3     18.011155774167296 
111101111     3     19.01218189192206 
111110111     3     19.404705028484887 
111111011     3     19.83154855905166 
111111101     3     20.839582898913484 
111111110     4     21.47525738930505 
111111111     4     24.303684514051238 
